Stop,APC Boards,APC Alights,Difference
165-Commons-GreenSt,"250,234","148,380",68.64%
100-Commons-Seneca,"123,636","169,733",-27.16%
1534-Sage Hall,"68,349","99,999",-31.65%
1525-Rockefeller Hl,"65,890","31,470",109.37%
3588-ShopsIthaMl,"65,343","43,602",49.86%
1326-Risley-Shelter,"48,665","14,950",225.52%
1524-GoldwinSmithHl,"48,423","125,710",-61.48%
1344-RPCC-Jessup,"47,193","11,583",307.43%
1533-Statler Hall,"44,073","30,860",42.82%
1542-Kennedy Hall,"42,650","20,950",103.58%
1540-UrisHallAcross,"41,269","24,763",66.66%
1716-SchwrtzPrfArCtr,"25,200","57,394",-56.09%
549-Walmart,"24,897","19,103",30.33%
1546-Dairy Bar Acros,"23,682","8,622",174.67%
103-Tioga @ Court,"23,554","2,495",844.05%
1717-Oak@College,"23,306","9,186",153.71%
1531-Carpenter Hall,"23,273","15,650",48.71%
1343-RPCC-Jessup,"21,966","81,578",-73.07%
1325-Thurston@Balch,"21,694","41,149",-47.28%
1511-Boldt Hall,"21,619","4,345",397.56%
1703-State@Quarry,"20,057","3,298",508.16%
3593-Tops Lansing,"19,764","2,156",816.70%
1349-HasbrouckApts,"19,679","10,109",94.67%
1356-Jessup@Trphamr,"19,338","3,552",444.43%
1754-Maplewd Apts,"19,088","1,880",915.32%
1774-EHP,"18,375","14,983",22.64%
1530-Anab Taylr Hall,"18,197","21,147",-13.95%
1330-Appel Commons,"17,357","1,342",1193.37%
3525-LansingWestApts,"17,237","2,553",575.17%
1328-Balch-CraditFrm,"16,477","1,008",1534.62%
1541-Uris Hall,"16,176","33,992",-52.41%
105-Court @ Linn,"15,782","1,988",693.86%
1715-Collegtwn Crsng,"15,664","6,087",157.34%
1721-Stewart@Seneca,"14,891","1,687",782.69%
1513-Baker Flagpole,"14,453","9,021",60.22%
112-Albany@SalvArmy,"13,767","20,919",-34.19%
1346-Jessup@PleasGrv,"13,660","5,888",132.00%
1512-BakerFlag Slope,"12,718","5,132",147.82%
1543-Corson-Mudd,"12,387","46,238",-73.21%
541-Wegmans,"12,099","10,551",14.67%
1555-Vet School,"11,961","6,089",96.44%
10004-(X) Garage,"11,857","11,642",1.85%
1353-A Lot-LowerStop,"11,832","7,372",60.50%
1701-State@Stewart,"11,779","2,265",420.04%
1113-University@Lake,"11,383","1,767",544.20%
1342-Northcrs@Jessup,"10,101","1,776",468.75%
172-Commons-Aurora,"9,984","1,301",667.41%
1719-College @ Oak,"9,978","2,815",254.46%
1713-Mitchel@College,"8,692","3,602",141.31%
1725-Stewart@William,"8,559","2,090",309.52%
543-TopsMkt Ithaca,"8,428","7,702",9.43%
1330-Appel Commons,"8,216",891,822.11%
1328-Balch-CraditFrm,"7,868",571,1277.93%
1544-Bradfield Hall,"7,709","8,976",-14.12%
1553-BTI,"7,636","16,604",-54.01%
3712-PlstGrv@Hanshaw,"7,566","2,122",256.55%
3785-Airport,"7,268","7,026",3.44%
2542-Overlook Apts,"6,874","5,738",19.80%
1521-Milstein Hall,"6,860","21,243",-67.71%
1531-Carpenter Hall,"6,801","5,269",29.08%
713-Elm@WVillage,"6,738",913,638.01%
535-Titus Towers,"6,438","5,344",20.47%
1345-Jessup@PleasGrv,"6,418","16,709",-61.59%
1351-A Lot-UpperStop,"6,278","8,702",-27.86%
4718-DrydnVilMainLib,"6,074",659,821.70%
1111-Univ@CornellAv,"5,909","1,184",399.07%
339-IC-RoyParkSchoo,"5,717","1,330",329.85%
